Ligand,Pocket,Best Score (kcal/mol),All Scores
CIMG_09093_prepared_Beauvericin,5,-7.5,"[-7.5, 0.0, 0.0, -7.4, 2.99, 6.192, -7.4, 3.065, 8.45, -7.3, 1.81, 8.135, -7.3, 2.893, 6.597, -7.3, 2.582, 5.376, -7.2, 2.788, 9.017, -7.1, 2.021, 8.462, -7.0, 6.737, 12.432, -6.9, 3.774, 9.59]"
CIMG_09093_prepared_Beauvericin,12,-10.1,"[-10.1, 0.0, 0.0, -9.8, 1.862, 7.316, -9.4, 1.519, 2.922, -9.4, 1.101, 1.918, -9.2, 1.986, 3.588, -9.0, 0.789, 7.052, -9.0, 2.006, 7.243, -8.8, 1.99, 6.59, -8.8, 2.051, 7.127, -8.7, 2.475, 6.822]"
CIMG_09093_prepared_Beauvericin,1,-3.8,"[-3.8, 0.0, 0.0, -1.0, 2.245, 7.214]"
CIMG_09093_prepared_Beauvericin,14,-7.4,"[-7.4, 0.0, 0.0, -7.2, 2.005, 3.152, -7.1, 2.328, 4.943, -7.1, 2.318, 6.039, -7.1, 1.999, 8.294, -6.9, 1.608, 6.85, -6.8, 2.485, 7.86, -6.8, 1.595, 2.057, -6.8, 2.143, 5.342, -6.8, 2.054, 6.973]"
CIMG_09093_prepared_Beauvericin,4,-10.0,"[-10.0, 0.0, 0.0, -9.7, 1.913, 7.327, -9.5, 1.103, 1.534, -8.9, 0.762, 7.112, -8.9, 1.829, 7.466, -8.7, 2.004, 6.585, -8.7, 2.075, 7.18, -8.6, 1.148, 7.362, -8.5, 1.417, 7.565, -8.4, 2.524, 7.241]"
CIMG_09093_prepared_Beauvericin,11,-8.0,"[-8.0, 0.0, 0.0, -7.8, 1.09, 7.308, -7.7, 2.704, 7.624, -7.7, 2.263, 3.461, -7.5, 3.519, 8.91, -7.5, 2.317, 8.11, -7.5, 2.302, 7.714, -7.4, 4.314, 9.999, -7.4, 1.964, 6.099, -7.3, 2.701, 8.37]"
CIMG_09093_prepared_Beauvericin,18,-7.4,"[-7.4, 0.0, 0.0, -7.4, 2.23, 5.111, -7.3, 2.153, 7.555, -7.2, 0.869, 7.168, -7.0, 2.008, 6.635, -6.4, 2.056, 4.717, -6.3, 2.249, 5.962, -6.0, 2.248, 7.587, -6.0, 1.946, 5.468, -5.8, 2.107, 6.755]"
CIMG_09093_prepared_Beauvericin,19,-9.3,"[-9.3, 0.0, 0.0, -9.0, 12.765, 18.465, -8.9, 12.256, 19.148, -8.7, 12.867, 19.581, -8.6, 12.386, 19.656, -8.6, 12.782, 19.352, -8.6, 1.485, 8.26, -8.5, 15.584, 20.492, -8.4, 0.958, 8.25, -8.4, 16.134, 21.61]"
CIMG_09093_prepared_Beauvericin,22,-6.0,"[-6.0, 0.0, 0.0, -2.4, 1.157, 7.234]"
CIMG_09093_prepared_Beauvericin,3,-8.9,"[-8.9, 0.0, 0.0, -8.9, 1.271, 7.428, -8.3, 4.261, 9.957, -8.1, 2.063, 5.21, -7.8, 7.223, 12.078, -7.7, 1.525, 7.484, -7.7, 18.22, 23.39, -7.7, 2.639, 8.257, -7.6, 2.135, 4.573, -7.6, 2.429, 4.46]"
CIMG_09093_prepared_Beauvericin,9,-7.5,"[-7.5, 0.0, 0.0, -7.4, 3.13, 8.502, -7.2, 3.38, 8.2, -7.2, 2.955, 7.876, -6.8, 2.703, 7.966, -6.5, 16.853, 21.105, -6.4, 2.432, 5.668, -6.4, 2.692, 6.666, -6.4, 2.344, 3.201, -6.3, 3.125, 7.318]"
CIMG_09093_prepared_Beauvericin,8,-8.2,"[-8.2, 0.0, 0.0, -8.1, 0.766, 7.39, -7.0, 1.637, 7.583, -6.9, 21.138, 25.199, -6.9, 22.051, 26.172, -6.8, 20.953, 24.83, -6.7, 0.964, 7.265, -6.5, 21.78, 25.827, -6.0, 1.952, 7.603, -6.0, 22.013, 26.515]"
CIMG_09093_prepared_Beauvericin,10,-8.1,"[-8.1, 0.0, 0.0, -8.1, 2.108, 7.429, -8.1, 2.197, 7.295, -8.1, 2.163, 7.845, -8.0, 2.317, 6.915, -7.9, 2.083, 6.421, -7.8, 1.533, 6.985, -7.8, 2.603, 7.001, -7.8, 2.248, 3.321, -7.8, 1.969, 8.258]"
CIMG_09093_prepared_Beauvericin,2,-5.9,"[-5.9, 0.0, 0.0, -5.8, 1.814, 2.388, -5.6, 2.089, 4.511, -5.6, 2.423, 8.433, -5.6, 2.685, 8.982, -5.4, 2.277, 8.478, -5.4, 0.837, 7.251, -5.3, 2.043, 6.487, -5.2, 2.805, 4.679, -5.1, 2.499, 4.958]"
CIMG_09093_prepared_Beauvericin,15,-7.3,"[-7.3, 0.0, 0.0, -7.2, 2.521, 7.421, -7.1, 2.06, 3.571, -7.1, 0.929, 7.357, -7.1, 13.985, 19.615, -7.1, 2.302, 8.65, -6.9, 7.761, 14.178, -6.9, 7.824, 12.402, -6.8, 2.681, 8.227, -6.8, 13.746, 18.479]"
CIMG_09093_prepared_Beauvericin,7,-7.4,"[-7.4, 0.0, 0.0, -7.1, 2.357, 6.048, -6.9, 1.416, 7.383, -6.9, 2.071, 6.842, -6.8, 1.956, 7.695, -6.8, 2.296, 6.801, -6.8, 2.204, 6.382, -6.7, 2.336, 7.748, -6.6, 1.975, 6.795, -6.6, 2.637, 4.491]"
CIMG_09093_prepared_Beauvericin,13,-9.2,"[-9.2, 0.0, 0.0, -9.0, 0.637, 1.018, -8.8, 1.737, 7.775, -8.7, 1.253, 7.185, -8.6, 1.897, 8.496, -8.4, 2.106, 5.843, -8.1, 8.613, 12.789, -8.0, 2.352, 6.047, -7.9, 2.413, 8.517, -7.9, 2.591, 4.249]"
CIMG_09093_prepared_Beauvericin,21,-7.8,"[-7.8, 0.0, 0.0, -7.3, 1.03, 8.081, -7.2, 3.294, 7.283, -7.0, 3.85, 8.925, -6.9, 9.625, 14.418, -6.8, 3.577, 8.255, -6.8, 2.293, 7.666, -6.7, 2.802, 8.113, -6.7, 2.69, 8.816, -6.7, 2.747, 5.202]"
CIMG_09093_prepared_Beauvericin,17,-8.7,"[-8.7, 0.0, 0.0, -8.6, 2.616, 6.632, -8.6, 2.197, 5.356, -8.6, 1.303, 1.719, -8.5, 2.688, 8.386, -8.5, 2.588, 7.421, -8.4, 2.606, 6.941, -8.4, 2.238, 8.082, -8.4, 3.01, 8.026, -8.4, 2.997, 8.087]"
CIMG_09093_prepared_Beauvericin,16,-7.0,"[-7.0, 0.0, 0.0, -6.8, 2.948, 8.422, -6.5, 3.823, 9.19, -6.4, 4.052, 9.63, -5.9, 22.335, 26.819, -5.4, 3.612, 5.567, -5.3, 4.173, 9.51, -5.1, 2.14, 3.795, -5.0, 22.263, 26.64, -4.9, 5.568, 10.486]"
CIMG_09093_prepared_Beauvericin,20,-9.1,"[-9.1, 0.0, 0.0, -9.0, 0.912, 1.269, -8.8, 1.59, 2.095, -8.8, 1.82, 7.847, -8.7, 1.288, 7.215, -8.4, 2.118, 5.814, -8.2, 1.576, 6.775, -8.1, 2.192, 8.242, -8.0, 2.317, 5.996, -7.9, 1.964, 8.514]"
CIMG_09093_prepared_Beauvericin,6,-6.8,"[-6.8, 0.0, 0.0, -6.8, 3.956, 9.128, -6.7, 2.702, 9.338, -6.7, 0.956, 7.367, -6.5, 4.31, 6.304, -6.5, 3.161, 4.924, -6.4, 3.167, 7.88, -6.4, 1.264, 7.947, -6.3, 7.728, 13.555, -6.2, 1.365, 2.075]"
CIMG_09093_prepared_Tacrolimus,5,-6.7,"[-6.7, 0.0, 0.0, -6.5, 4.325, 8.848, -6.3, 10.886, 16.212, -6.3, 5.744, 10.02, -6.3, 5.498, 9.452, -6.1, 6.594, 10.375, -6.1, 4.275, 9.338, -6.0, 9.095, 13.293, -6.0, 4.747, 11.011, -5.8, 3.892, 7.28]"
CIMG_09093_prepared_Tacrolimus,12,-9.5,"[-9.5, 0.0, 0.0, -9.2, 1.172, 1.265, -9.2, 1.673, 1.93, -9.1, 2.24, 3.114, -9.1, 1.944, 2.469, -8.0, 2.398, 10.739, -7.8, 2.565, 3.661, -7.7, 2.589, 5.936, -7.4, 3.571, 5.832, -7.4, 2.777, 6.152]"
CIMG_09093_prepared_Tacrolimus,1,0.0,"[0.5, 0.0, 0.0]"
CIMG_09093_prepared_Tacrolimus,14,-7.5,"[-7.5, 0.0, 0.0, -7.2, 1.684, 2.161, -7.0, 5.855, 11.747, -6.9, 3.348, 10.339, -6.7, 5.644, 10.829, -6.6, 2.667, 10.79, -6.5, 5.812, 9.222, -6.4, 5.589, 10.884, -6.4, 5.064, 9.349, -6.3, 4.941, 7.235]"
CIMG_09093_prepared_Tacrolimus,4,-9.4,"[-9.4, 0.0, 0.0, -9.2, 1.002, 1.077, -9.2, 1.491, 1.737, -9.2, 2.202, 3.064, -9.0, 1.391, 1.924, -9.0, 1.095, 1.562, -8.5, 1.83, 2.334, -7.4, 2.305, 3.023, -6.8, 2.499, 5.776, -6.6, 2.864, 4.36]"
CIMG_09093_prepared_Tacrolimus,11,-8.7,"[-8.7, 0.0, 0.0, -8.7, 0.905, 1.095, -8.2, 4.37, 9.602, -8.1, 2.617, 3.82, -7.9, 3.298, 6.934, -7.9, 4.69, 8.773, -7.8, 3.915, 8.061, -7.7, 5.077, 11.207, -7.7, 3.947, 8.531, -7.7, 4.203, 9.122]"
CIMG_09093_prepared_Tacrolimus,18,-2.3,"[-2.3, 0.0, 0.0, -2.2, 18.858, 24.541, -2.1, 2.288, 10.825, -1.2, 2.637, 6.401, -1.1, 4.691, 7.06, 0.3, 3.76, 7.055, 0.5, 3.431, 10.245, 1.2, 4.856, 8.006]"
CIMG_09093_prepared_Tacrolimus,19,-8.2,"[-8.2, 0.0, 0.0, -8.0, 4.707, 9.489, -8.0, 3.572, 8.62, -7.5, 2.313, 10.907, -7.4, 3.513, 8.247, -7.4, 3.711, 8.733, -7.3, 4.438, 9.432, -7.3, 3.861, 7.561, -7.2, 16.123, 19.689, -7.1, 3.541, 8.773]"
CIMG_09093_prepared_Tacrolimus,22,-1.4,"[-1.4, 0.0, 0.0]"
CIMG_09093_prepared_Tacrolimus,3,-8.7,"[-8.7, 0.0, 0.0, -8.7, 4.268, 6.743, -8.6, 3.761, 6.354, -8.2, 4.994, 11.896, -8.2, 2.555, 5.399, -8.1, 3.02, 5.805, -8.0, 3.434, 11.223, -7.8, 5.011, 11.992, -7.6, 4.28, 9.159, -7.5, 4.95, 9.867]"
CIMG_09093_prepared_Tacrolimus,9,-8.3,"[-8.3, 0.0, 0.0, -8.1, 3.703, 7.395, -8.0, 1.249, 1.9, -8.0, 4.681, 9.467, -8.0, 2.361, 3.76, -7.8, 3.418, 6.472, -7.6, 2.953, 6.25, -7.6, 3.469, 6.137, -7.6, 4.909, 9.541, -7.6, 2.771, 5.763]"
CIMG_09093_prepared_Tacrolimus,8,-6.4,"[-6.4, 0.0, 0.0, -6.4, 1.651, 2.084, -5.3, 11.776, 17.034, -5.3, 7.678, 14.527, -5.2, 8.412, 15.348, -5.1, 3.723, 5.671, -5.1, 3.135, 7.226, -4.9, 11.122, 16.236, -4.7, 13.95, 17.934, -4.5, 13.676, 17.662]"
CIMG_09093_prepared_Tacrolimus,10,-8.9,"[-8.9, 0.0, 0.0, -8.3, 4.329, 9.452, -8.1, 10.057, 13.618, -8.0, 6.414, 12.461, -8.0, 10.572, 15.654, -8.0, 7.716, 10.597, -8.0, 10.435, 13.995, -8.0, 5.297, 8.914, -7.9, 10.849, 15.767, -7.9, 11.776, 15.606]"
CIMG_09093_prepared_Tacrolimus,2,-5.9,"[-5.9, 0.0, 0.0, -5.4, 3.788, 9.557, -5.2, 2.761, 4.464, -5.1, 2.504, 3.658, -5.0, 2.92, 10.531, -4.9, 3.021, 10.087, -4.4, 2.575, 11.135, -4.4, 3.588, 10.562, -3.9, 1.525, 2.094, -3.1, 3.907, 6.219]"
CIMG_09093_prepared_Tacrolimus,15,-6.5,"[-6.5, 0.0, 0.0, -6.4, 4.516, 6.289, -6.4, 4.168, 11.623, -6.3, 8.923, 16.931, -6.3, 4.646, 8.973, -6.1, 9.87, 17.111, -6.1, 9.271, 13.548, -6.0, 3.306, 11.213, -6.0, 3.493, 10.985, -6.0, 4.875, 9.918]"
CIMG_09093_prepared_Tacrolimus,7,-7.2,"[-7.2, 0.0, 0.0, -7.2, 2.044, 10.784, -6.8, 1.361, 1.644, -6.7, 4.019, 7.942, -6.3, 4.219, 8.295, -6.1, 2.542, 11.103, -6.1, 11.983, 16.995, -6.0, 3.564, 9.104, -6.0, 4.814, 9.656, -5.8, 4.78, 9.4]"
